Brand,Nama Produk,Jenis Produk,Untuk Kulit,Masalah Kulit,Ukuran,Tipe Bahan Aktif,Keamanan Bumil & Busui,Rekomendasi Bumil & Busui,Batas Usia Minimal,Batas Usia Maksimal,Tahun Rilis,Kisaran Harga
Avoskin,Avoskin Tea Tree Spot Gel,Essence,Berminyak,Jerawat,100 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2021,Rp89.000–Rp250.000
Dear Me Beauty,Dear Me Beauty Bakuchiol Night Cream,Essence,Kering,Dehidrasi,50 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp83.000–Rp129.000
Somethinc,Somethinc Glow Boost,Serum,Berminyak,Flek hitam,30 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2018,Rp69.000–Rp199.000
COSRX,COSRX Acne Treatment Serum,Cleanser,Berminyak,Iritasi,100 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2018,Rp55.000–Rp256.000
The Ordinary,The Ordinary Tea Tree Spot Gel,Sunscreen,Berminyak,Kusam,100 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp130.000–Rp220.000
Dear Me Beauty,Dear Me Beauty Acne Treatment Serum,Serum,Kering,Dehidrasi,20 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp83.000–Rp129.000
Scarlett,Scarlett Salicylic Acid Daily Gentle Cleanser,Serum,Sensitif,Flek hitam,100 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp39.000–Rp75.000
Avoskin,Avoskin Acne Treatment Serum,Sunscreen,Kering,Kusam,30 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp89.000–Rp250.000
Emina,Emina Advanced Snail 96 Mucin Essence,Cream,Kering,Iritasi,20 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2021,Rp18.000–Rp58.000
The Ordinary,The Ordinary Bakuchiol Night Cream,Serum,Normal,Flek hitam,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2023,Rp130.000–Rp220.000
Avoskin,Avoskin Glow Boost Serum,Moisturizer,Kering,Jerawat,100 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2018,Rp89.000–Rp250.000
